@relation "asm"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{org.objectweb.asm.tree.analysis.AnalyzerException,java.lang.IllegalStateException,java.lang.AssertionError,java.lang.UnsupportedOperationException,java.lang.IllegalArgumentException,org.objectweb.asm.tree.UnsupportedClassVersionException}

@data
50,"IfStatement","null",true,"f_new type ","int org.objectweb.asm.Opcodes ","","","","",java.lang.IllegalArgumentException
51,"SwitchStatement","null",true,"type ","org.objectweb.asm.Type int ","","getSort ","","",java.lang.AssertionError
52,"IfStatement","null",false,"current argument start index space index end index ","int ","","","","",java.lang.IllegalArgumentException
53,"SwitchStatement","null",true,"opcode ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
54,"SwitchStatement","null",true,"opcode ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
55,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
56,"SwitchStatement","null",true,"opcode ","int ","","","","",java.lang.IllegalArgumentException
57,"IfStatement","null",false,"","java.lang.Class org.objectweb.asm.commons.TryCatchBlockSorter ","","getClass ","","",java.lang.IllegalStateException
58,"IfStatement","null",false,"","org.objectweb.asm.commons.GeneratorAdapter java.lang.Class ","","getClass ","","",java.lang.IllegalStateException
59,"IfStatement","null",false,"acc_static access ","int org.objectweb.asm.Opcodes ","","","","",java.lang.IllegalStateException
60,"IfStatement","null",true,"double boolean from ","int org.objectweb.asm.Type ","","getSort ","","",java.lang.IllegalArgumentException
61,"IfStatement","null",true,"mode ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
62,"SwitchStatement","null",true,"mode ","int ","","","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
63,"IfStatement","null",true,"keys ","int int ","","","","",java.lang.IllegalArgumentException
