@relation "itext"

@attribute iid numeric
@attribute enclosureType string
@attribute catchedType string
@attribute isFromArgument {true, false}
@attribute varNames string
@attribute varTypes string
@attribute constants string
@attribute methodNames string
@attribute methodExceptions string
@attribute otherExceptions string
@attribute classid{java.lang.IllegalArgumentException,java.lang.IndexOutOfBoundsException,com.itextpdf.kernel.PdfException,java.lang.UnsupportedOperationException,java.lang.RuntimeException,com.itextpdf.barcodes.qrcode.WriterException,com.itextpdf.io.IOException,java.io.IOException,java.lang.IllegalStateException,com.itextpdf.io.codec.brotli.dec.BrotliRuntimeException,com.itextpdf.io.font.woff2.FontCompressionException,java.io.EOFException,com.itextpdf.kernel.xmp.XMPException,com.itextpdf.pdfa.PdfAConformanceException,com.itextpdf.svg.exceptions.SvgProcessingException}

@data
84,"IfStatement","null",true,"block i d num r s blocks ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
85,"IfStatement","null",false,"num ec bytes in group2 num ec bytes in group1 ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
86,"IfStatement","null",true,"num r s blocks num rs blocks in group2 num rs blocks in group1 ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
87,"IfStatement","null",true,"num ec bytes in group2 num total bytes num ec bytes in group1 num rs blocks in group2 num data bytes in group2 num rs blocks in group1 num data bytes in group1 ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
88,"IfStatement","null",true,"bits num data bytes ","int com.itextpdf.barcodes.qrcode.BitVector ","","sizeInBytes ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
89,"IfStatement","null",true,"data bytes offset num data bytes ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
90,"IfStatement","null",true,"result num total bytes ","int com.itextpdf.barcodes.qrcode.BitVector ","","sizeInBytes ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
91,"IfStatement","null",true,"num bits num letters ","int ","","","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
92,"IfStatement","null",true,"kanji mode ","com.itextpdf.barcodes.qrcode.Mode ","","equals ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
93,"IfStatement","null",false,"code1 ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
94,"IfStatement","null",false,"code2 ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
95,"CatchClause","java.io.UnsupportedEncodingException",true,"bytes encoding content ","java.lang.String byte ","","getBytes ","WriterException ","",com.itextpdf.barcodes.qrcode.WriterException
96,"CatchClause","java.io.UnsupportedEncodingException",true,"bytes content ","java.lang.String byte ","Shift_JIS ","getBytes ","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
97,"IfStatement","null",false,"subtracted ","int ","","","WriterException ","com.itextpdf.barcodes.qrcode.WriterException ",com.itextpdf.barcodes.qrcode.WriterException
98,"IfStatement","null",true,"length coefficients ","int int ","NULL ","","","",java.lang.IllegalArgumentException
99,"IfStatement","null",true,"other field ","com.itextpdf.barcodes.qrcode.GF256 com.itextpdf.barcodes.qrcode.GF256Poly ","","equals ","","",java.lang.IllegalArgumentException
100,"IfStatement","null",true,"other field ","com.itextpdf.barcodes.qrcode.GF256 com.itextpdf.barcodes.qrcode.GF256Poly ","","equals ","","",java.lang.IllegalArgumentException
101,"IfStatement","null",true,"degree ","int ","","","","",java.lang.IllegalArgumentException
102,"IfStatement","null",true,"other field ","com.itextpdf.barcodes.qrcode.GF256 com.itextpdf.barcodes.qrcode.GF256Poly ","","equals ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
103,"IfStatement","null",true,"other ","com.itextpdf.barcodes.qrcode.GF256Poly ","","isZero ","","java.lang.IllegalArgumentException ",java.lang.IllegalArgumentException
104,"IfStatement","null",true,"degree ","int ","","","","",java.lang.IllegalArgumentException
105,"IfStatement","null",true,"","int ","","","","",java.lang.IllegalArgumentException
106,"IfStatement","null",false,"document ","com.itextpdf.kernel.pdf.PdfDocument ","","isAppendMode ","","com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
107,"IfStatement","null",false,"page ","com.itextpdf.kernel.pdf.PdfPage ","","isFlushed ","","com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
108,"IfStatement","null",true,"page dic warn if page flushed ","com.itextpdf.kernel.pdf.PdfDictionary boolean ","","isFlushed ","","",com.itextpdf.kernel.PdfException
109,"CatchClause","java.io.IOException",true,"caption default_font_size name rect doc field ","java.lang.String int com.itextpdf.kernel.geom.Rectangle com.itextpdf.kernel.pdf.PdfDocument com.itextpdf.forms.fields.PdfButtonFormField ","","createPushButton createFont ","","",com.itextpdf.kernel.PdfException
110,"CatchClause","java.io.IOException",true,"options name rect value doc ","java.lang.String com.itextpdf.kernel.geom.Rectangle com.itextpdf.kernel.pdf.PdfDocument java.lang.String ","NULL ","createFont createComboBox ","","",com.itextpdf.kernel.PdfException
111,"IfStatement","null",true,"deg rotation ","int ","","","","",java.lang.IllegalArgumentException
112,"CatchClause","java.io.IOException",false,"zapfdingbats font ","java.lang.String com.itextpdf.kernel.font.PdfFont ","","createFont ","","",com.itextpdf.kernel.PdfException
113,"IfStatement","null",false,"kids ","com.itextpdf.kernel.pdf.PdfArray ","NULL ","","","",com.itextpdf.kernel.PdfException
114,"CatchClause","java.lang.Exception",true,"input stream ","java.io.InputStream ","","initXfaForm ","","",com.itextpdf.kernel.PdfException
115,"CatchClause","java.lang.Exception",false,"xfa ","com.itextpdf.kernel.pdf.PdfObject ","","initXfaForm ","","",com.itextpdf.kernel.PdfException
116,"CatchClause","java.lang.Exception",false,"xfa ","com.itextpdf.kernel.pdf.PdfObject ","","initXfaForm ","","",com.itextpdf.kernel.PdfException
117,"IfStatement","null",true,"form acro form ","com.itextpdf.forms.PdfAcroForm com.itextpdf.forms.xfa.XfaForm ","NULL ","getPdfDocument ","IOException ","",java.lang.IllegalArgumentException
118,"CatchClause","javax.xml.parsers.ParserConfigurationException",true,"dbf newdoc read only ","javax.xml.parsers.DocumentBuilder org.w3c.dom.Document javax.xml.parsers.DocumentBuilderFactory boolean org.xml.sax.InputSource ","","setEntityResolver getDocumentElement newDocumentBuilder parse fillXfaForm ","IOException ","com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
119,"CatchClause","org.xml.sax.SAXException",true,"dbf newdoc read only ","javax.xml.parsers.DocumentBuilder org.w3c.dom.Document javax.xml.parsers.DocumentBuilderFactory boolean org.xml.sax.InputSource ","","setEntityResolver getDocumentElement newDocumentBuilder parse fillXfaForm ","IOException ","com.itextpdf.kernel.PdfException ",com.itextpdf.kernel.PdfException
120,"IfStatement","null",false,"bits ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
121,"IfStatement","null",false,"bits ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
122,"IfStatement","null",false,"bits ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
123,"IfStatement","null",false,"","","","readEOL ","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
124,"IfStatement","null",false,"code ","int ","","","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
125,"IfStatement","null",false,"bits left ","int ","","nextNBits ","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
126,"IfStatement","null",false,"","","","nextLesserThan8Bits ","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
127,"IfStatement","null",false,"bits ","int ","","","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
128,"IfStatement","null",false,"run length ","int ","","","","com.itextpdf.io.IOException ",com.itextpdf.io.IOException
129,"IfStatement","null",false,"bits ","int ","","","","",com.itextpdf.io.IOException
130,"IfStatement","null",false,"next12 bits ","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
131,"IfStatement","null",false,"bits left ","int ","","nextNBits ","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
132,"IfStatement","null",false,"","","","nextNBits ","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
133,"IfStatement","null",false,"","int ","","","","com.itextpdf.io.IOException com.itextpdf.io.IOException com.itextpdf.io.IOException ",com.itextpdf.io.IOException
134,"IfStatement","null",false,"fill order ","int ","","","","",com.itextpdf.io.IOException
135,"IfStatement","null",false,"fill order ","int ","","","","",com.itextpdf.io.IOException
